2023-05-09 14:20:47,017 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27866.01, 's': 0.00532, 't': Timestamp(seconds=1683660047, nanoseconds=41000000), 'i': 16579691, 'tks': 'B'}
2023-05-09 14:20:47,018 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27868.8, 's': 0.00902, 't': Timestamp(seconds=1683660047, nanoseconds=41000000), 'i': 16579692, 'tks': 'B'}
2023-05-09 14:20:47,022 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27868.8, 'as': 0.37098, 't': Timestamp(seconds=1683660047, nanoseconds=53203346)}
2023-05-09 14:20:47,023 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27868.8, 'as': 0.19, 't': Timestamp(seconds=1683660047, nanoseconds=54903354)}
2023-05-09 14:20:47,028 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27867.6, 'as': 0.19, 't': Timestamp(seconds=1683660047, nanoseconds=59788792)}
2023-05-09 14:20:47,032 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27868.23, 'as': 0.19, 't': Timestamp(seconds=1683660047, nanoseconds=63511986)}
2023-05-09 14:20:47,040 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.10526, 'ap': 27868.23, 'as': 0.19, 't': Timestamp(seconds=1683660047, nanoseconds=66985640)}
2023-05-09 14:20:47,041 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.10526, 'ap': 27868.23, 'as': 0.38, 't': Timestamp(seconds=1683660047, nanoseconds=69147099)}
2023-05-09 14:20:47,301 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.10526, 'ap': 27868.16, 'as': 0.094, 't': Timestamp(seconds=1683660047, nanoseconds=331860792)}
2023-05-09 14:20:47,306 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.10526, 'ap': 27867.13, 'as': 0.19, 't': Timestamp(seconds=1683660047, nanoseconds=337655758)}
